,label
457,PENNSYLVANIA
458,SEVEN
459,AT
460,THIRTY-FIVE
461,USE
462,FISHING
463,SEE
464,NATURALIZATION
465,OSCAR
466,ALLURE
467,AMETHYSTS
468,MAKE
469,CUT
470,COPENHAGEN
471,ALOOF
472,TAB
473,WE
474,X-RAY
475,WITH
476,CARROT
477,PLOUGHSHARE
478,TOIL
479,FRUGALITY
480,SCHOOLYARD
481,ARE
482,TANGO
483,AZURE
484,BRAVO
485,CRYING
486,QUEBEC
487,DOWNWARD
488,FOUR
489,COULD
490,CLERGYMAN
491,TWO
492,WINDOW
493,EXACTITUDE
494,MANY
495,THERE
496,THEM
497,WHEN
498,ZULU
499,WASHERWOMAN
500,ECHO
501,RIGHT
502,SAID
503,WITH
504,OF
505,WRITE
506,FOOTMARKS
507,AND
508,COMMAND
509,OH
510,BE
511,STARS
512,TANGO
513,AUTHORITATIVE
514,GUSTAVE
515,WHO
516,WHEN
517,BEHAVIOR
518,MASSACHUSETTS
519,AWAY
520,MIKE
521,SLIDE
522,ALTHOUGH
523,HAD
524,WHEN
525,LIMA
526,OUT
527,BUFFOON
528,NO
529,AND
530,MY
531,REWARD
532,THEM
533,AUTHORITATIVE
534,FOWLER
535,BUNGALOWS
536,HAD
537,PROTEGE
538,QUADRUPLED
539,AFTERTHOUGHT
540,ASIA
541,VOUCHSAFE
542,ARE
543,IS
544,TO
545,AS
546,DAY
547,CONVENIENCE
548,IT
549,PSYCHOLOGICAL
550,FOWLER
551,IT
552,X-RAY
553,FIND
554,WRITE
555,BOQUETS
556,CASUALTIES
557,GENTLEWOMAN
558,OSCAR
559,TANGO
560,THEIR
561,YANKEE
562,PEOPLE
563,THEN
564,HOTEL
565,LOOK
566,OH
567,DAY
568,MANY
569,LEFT
570,ABOUT
571,JOSEPH
572,AVENUES
573,ZIPPER
574,DELETE
575,NOVEMBER
576,CHARLIE
577,OTHER
578,TANGO
579,UNYIELDING
580,WHICH
581,OUT
582,ESCAPE
583,ADHESION
584,BOOTH
585,LONG
586,FIRST
587,AN
588,YES
589,MORE
590,NOVEMBER
591,UP
592,SHOUT
593,FOOTMARKS
594,BUTCHER
595,HOW
596,WE
597,APOTHECARY
598,WILL
599,FIVE
600,SOUTHEAST
601,PARAGRAPH
602,SO
603,WAGON
604,DEMOLISH
605,THE
606,WHEN
607,FINGER
608,WATER
609,THERE
610,BLUEBELLS
611,HE
612,ABLUTIONS
613,BURROWS
614,GOLF
615,BLITHE
616,NOW
617,ZERO
618,QUEBEC
619,EYEBROWS
620,DELTA
621,AGRICULTURAL
622,SO
623,WITH
624,LOOK
625,ALL
626,LIMA
627,RIGHT
628,WASHERWOMAN
629,ITS
630,OR
631,COMMAND
632,INTO
633,WAGON
634,ORANGE
635,OUTPUT
636,AN
637,THUMB
638,BETOOK
639,PENCIL
640,INALIENABLE
641,COULD
642,TWO
643,DID
644,THEM
645,COMMAND
646,OIL
647,LIKE
648,ANYBODY
649,EIGHT
650,THAT
651,BOSOM
652,BUTCHER
653,GOOD
654,CHESHIRE
655,TOOTHACHE
656,CALL
657,WILL
658,GENTLEWOMAN
659,BATHE
660,DELTA
661,SEE
662,EMPLOYMENT
663,UP
664,BOOTH
665,WAY
666,AT
667,DOWN
668,TIME
669,ZERO
670,ADVICE
671,CRYING
672,SUGAR
673,OSCAR
674,DELETE
675,YELLOW
676,IROQUOIS
677,DOWN
678,MAKE
679,BLUEBELLS
680,FIRST
681,RABBIT
682,CHAMBERMAID
683,FLOWERS
684,ALL
685,ABOUT
686,RING
687,ABLE-BODIED
688,UNIFORM
689,OIL
690,WHISKEY
691,COHERENT
692,OVERSHADOWED
693,CALL
694,AN
695,POWWOW
696,SWIMMING
697,WILL
698,HAS
699,AS
700,EPITHET
701,PARAGRAPH
702,SWOON
703,AN
704,PRAISEWORTHY
705,BACKSPACE
706,JULIET
707,LONG
708,MIKE
709,PAJAMAS
710,MY
711,TANGO
712,ZERO
713,SCULLION
714,SOOTHING
715,FAYETTEVILLE
716,OF
717,COME
718,REWARD
719,WHICH
720,EACH
721,WOULD
722,SEE
723,CRAYON
724,ZERO
725,PROMULGATE
726,UNIFORM
727,CHAMBERMAID
728,KILO
729,KILO
730,BERSERKER
731,ECHO
732,VOUCHSAFE
733,PERPETUAL
734,BEHAVIOR
735,ABBREVIATED
736,HAVE
737,OR
738,THEN
739,X-RAY
740,ADULATION
741,MY
742,ROMEO
743,PLOUGHSHARE
744,BUT
745,FOUR
746,DOWNWARD
747,AVERSION
748,THEIR
749,TANGO
750,INEXHAUSTIBLE
751,SO
752,ROOF
753,SIERRA
754,COME
755,WERE
756,SOME
757,SO
758,THEM
759,USE
760,DO
761,WILL
762,THAN
763,SAWYER
764,THREE
765,NUMBER
766,GREEN
767,RENDEZVOUS
768,JUMPING
769,DIGEST
770,CLOWN
771,THERE
772,DID
773,COME
774,FOIL
775,FORGETFULNESS
776,ALT
777,GO
778,APOTHECARY
779,SOME
780,UNUSUAL
781,OVERSHADOWED
782,GOULASH
783,FOWLER
784,LEFT
785,FIRST
786,BOSOM
787,BATHE
788,PEOPLE
789,HAD
790,MADE
791,TO
792,RIGHT
793,VICTOR
794,ITS
795,ARE
796,RING
797,IF
798,SIX
799,MIKE
800,BABYHOOD
801,COHERENT
802,LEFT
803,ASTOUNDED
804,HE
805,GET
806,TO
807,BANANA
808,FLOWERS
809,OR
810,WHISKEY
811,CATHOLIC
812,BUT
813,HAVE
814,EIGHT
815,LIMA
816,NUREMBERG
817,THREE
818,GOLF
819,MAKE
820,DAY
821,OF
822,MASSAGE
823,JULIET
824,THEIR
825,GET
826,WITH
827,RIGHT
828,ADAPT
829,JUDITH
830,MADE
831,SENTENCE
832,MONKEY
833,BOOTH
834,SUPREME
835,INDIA
836,TAB
837,HOMEOPATH
838,VICTOR
839,BRUSH
840,TOOTHACHE
841,TAB
842,GOLF
843,BY
844,HAS
845,OH
846,ENTERTAINER
847,GET
848,WOULD
849,WITH
850,HANGER
851,BROTHERHOOD
852,MAKE
853,UNUSUAL
854,BANANA
855,AS
856,WHEREWITHAL
857,ESCAPE
858,BOULEVARD
859,EIGHT
860,ROMEO
861,ALPHA
862,CANDLELIGHT
863,WHISKEY
864,POWWOW
865,FEATHER
866,SAWYER
867,DOWNWARD
868,OTHER
869,WOULD
870,ACHIEVE
871,CUT
872,PAPA
873,ADULATION
874,PRAISEWORTHY
875,CUT
876,I
877,UNYIELDING
878,BERSERKER
879,IT
880,LINE
881,HAS
882,IMMOVABLE
883,NATURALIZATION
884,A
885,IN
886,WHISKEY
887,CUSHY
888,JACKDAWS
889,BOTHER
890,CAR
891,TIME
892,FAITHFULNESS
893,WHEN
894,WERE
895,TO
896,NOW
897,ASHAMED
898,AUTOBIOGRAPHY
899,FIND
900,BACKSPACE
901,AVERSION
902,NEVERTHELESS
903,STRINGY
904,UNUSUAL
905,SHOUT
906,ALTHOUGH
907,WASHERWOMAN
908,JULIET
909,HAD
910,TAB
911,ALT
912,HOW
913,TANGO
914,PAPA
915,BATTLESHIP
916,UNIFORM
917,HOIST
918,FIND
919,LOOK
920,BUT
921,PSYCHOLOGICAL
922,EACH
923,LOOK
924,ANNOYED
925,PRAISEWORTHY
926,THERE
927,PLANE
928,AT
929,BUT
930,PEOPLE
931,ZERO
932,BACHELOR
933,YOUR
934,CAN
935,VICTOR
936,MOUTH
937,COPY
938,THE
939,AS
940,WOULD
941,IS
942,BULRUSH
943,WHISKEY
944,RABBIT
945,GREYHOUND
946,AZURE
947,WRITE
948,DELETE
949,WORD
950,THREE
951,TOIL
952,SEVEN
953,GOOD
954,WHAT
955,LEFT
956,CHOKING
957,EMPLOYMENT
958,SIX
959,SWIMMING
960,THEN
961,TO
962,ECHO
963,FOUR
964,WITH
965,HA-HA
966,HIS
967,THEN
968,AVERSION
969,DO
970,ZERO
971,LIMA
972,NEVERTHELESS
973,SAID
974,SHIFT
975,SEVEN
976,SAID
977,INTERWOVEN
978,MASSACHUSETTS
979,OH
980,BUTTERFLIES
981,BURROWS
982,BOQUETS
983,JULIET
984,MY
985,DOWNWARD
986,DO
987,SEE
988,THEIR
989,CONTROL
990,LIMA
991,WATCH
992,STARS
993,BOULEVARD
994,NOVEMBER
995,INEXHAUSTIBLE
996,SHIFT
997,DIGEST
998,MOUSTACHE
999,FOUR
1000,LIKE
1001,AND
1002,UNIFORM
1003,SAID
1004,EACH
1005,BOQUETS
1006,AHEAD
1007,IRRESOLUTE
1008,AFTERTHOUGHT
1009,BROWBEAT
1010,THEN
1011,SOME
1012,DUCK
1013,ITS
1014,CUSHY
1015,DID
1016,EXACTITUDE
1017,DOWN
1018,DURABLE
1019,JURIES
1020,GIRL
1021,OUTPUT
1022,GO
1023,SANDPIPERS
1024,NOT
1025,ASTOUNDED
1026,LETHARGY
1027,CHARLIE
1028,BEEN
1029,NUMBER
1030,OBSERVATION
1031,AHEAD
1032,SCISSORS
1033,INTERWOVEN
1034,MIKE
1035,BEEN
1036,PASTE
1037,DOWNWARD
1038,THIS
1039,UNUSUAL
1040,WASHERWOMAN
1041,TAB
1042,CONVENIENCE
1043,THESE
1044,LAMP
1045,BEGUILE
1046,BY
1047,OH
1048,INTO
1049,BY
1050,HYPOTHESIS
1051,VOYAGE
1052,OSCAR
1053,USE
1054,YANKEE
1055,SHIFT
1056,FISHING
1057,LOOK
1058,LIKE
1059,APPROACH
1060,DEMOLISH
1061,SIERRA
1062,BRAVO
1063,BY
1064,ANYBODY
1065,EQUILIBRIUM
1066,QUEBEC
1067,PYTHON
1068,CUT
1069,THE
1070,HOW
1071,CONTROL
1072,SOUTHEASTERLY
1073,BLUE
1074,HER
1075,ITS
1076,CHIDE
1077,GOUGED
1078,THEIR
1079,THINE
1080,ORANGE
1081,REFUGEE
1082,YOU
1083,UP
1084,WHEREWITHAL
1085,IRRESOLUTE
1086,BERSERKER
1087,RIGHTEOUS
1088,GREEN
1089,FOXTROT
1090,IS
1091,THESE
1092,WILL
1093,SO
1094,OUT
1095,IMMOVABLE
1096,COMMAND
1097,FRUGALITY
1098,ROLY-POLY
1099,IF
1100,EACH
1101,SUPERVISION
1102,PARAGRAPH
1103,NUMBER
1104,THESE
1105,HEYWARD
1106,WHAT
1107,BLITHE
1108,NOW
1109,LONG
1110,DO
1111,OIL
1112,DIGEST
1113,OR
1114,MAY
1115,KILO
1116,MASSAGE
1117,GLASSES
1118,LIKE
1119,CONVENIENCE
1120,SHARPSHOOTER
1121,TAB
1122,SANDPIPERS
1123,WITH
1124,ARE
1125,JOWLS
1126,OSCAR
1127,ARE
1128,ALL
1129,MANY
1130,SEE
1131,YOU
1132,IS
1133,SEVEN
1134,COMPOSURE
1135,SENTENCE
1136,GO
1137,IN
1138,LOOK
1139,MANY
1140,ON
1141,HOIST
1142,HOW
1143,CUT
1144,WHISKEY
1145,NOVEMBER
1146,UNYIELDING
1147,OSCAR
1148,EIGHT
1149,MANY
1150,FIRST
1151,TIME
1152,WHO
1153,ENTER
1154,VOYAGE
1155,COWHIDE
1156,ON
1157,WOULD
1158,LIKE
1159,THAN
1160,GOULASH
1161,ADAPT
1162,IF
1163,FAITHFULNESS
1164,HULK
1165,ADULATION
1166,BACKSPACE
1167,PYTHON
1168,FIND
1169,AN
1170,MIKE
1171,ALT
1172,NUREMBERG
1173,CHIDE
1174,SEVEN
1175,ZERO
1176,THAN
1177,WOULD
1178,WERE
1179,WINDOW
1180,BOULEVARD
1181,NOT
1182,PAPA
1183,ALT
1184,AGRICULTURAL
1185,COMMAND
1186,DOWNWARD
1187,CONTROL
1188,X-RAY
1189,FISHING
1190,AUTHORITATIVE
1191,WOULD
1192,OIL
1193,NOT
1194,ESCAPE
1195,CHESHIRE
1196,CHAMBERMAID
1197,PAPA
1198,BEHAVIOR
1199,LEFT
1200,ARE
1201,COME
1202,MAY
1203,AND
1204,WATCH
1205,AS
1206,ITS
1207,GOOD
1208,LIKE
1209,ONE
1210,WAY
1211,NEWFOUND
1212,COPENHAGEN
1213,OTHER
1214,THEY
1215,YOU
1216,ALPHA
1217,HAVE
1218,DELETE
1219,WHO
1220,WAS
1221,YOUR
1222,CALL
1223,HAD
1224,IS
1225,ONE
1226,PLOUGHSHARE
1227,CAN
1228,IN
1229,GREYHOUND
1230,FUTURITY
1231,X-RAY
1232,UNIFORM
1233,YOUR
1234,ADJACENT
1235,ALL
1236,REWARD
1237,SAWYER
1238,HOW
1239,MIKE
1240,LAWYER
1241,CAR
1242,NINE
1243,PEOPLE
1244,FAYETTEVILLE
1245,BEGUILE
1246,OIL
1247,HAD
1248,CHOWDER
1249,THAT
1250,IF
1251,USE
1252,APPRECIABLE
1253,BLUEBELLS
1254,LIKE
1255,DUCK
1256,DAY
1257,DELETE
1258,THOU
1259,FOUR
1260,ADJACENT
1261,VICTOR
1262,YES
1263,PENCIL
1264,WHEN
1265,BEQUEATH
1266,FOXTROT
1267,DID
1268,CHARLIE
1269,LAWYER
1270,MY
1271,ANXIETIES
1272,SANDPIPERS
1273,WHO
1274,BOYHOOD
1275,ALL
1276,BACKSPACE
1277,HANGER
1278,YES
1279,QUADRUPLED
1280,PASTE
1281,EIGHT
1282,DESIGNATE
1283,ORANGE
1284,IF
1285,THREE
1286,COULD
1287,EIGHT
1288,AS
1289,DELTA
1290,FIRE
1291,POWWOW
1292,TO
1293,ON
1294,MY
1295,THERE
1296,THE
1297,WOULD
1298,LOOK
1299,GO
1300,PAPA
1301,WHICH
1302,IS
1303,CONVULSION
1304,INDIA
1305,SENTENCE
1306,MADE
1307,BUT
1308,GIGANTIC
1309,HER
1310,FOUR
1311,HA-HA
1312,NOT
1313,ECHO
1314,WHISKEY
1315,HIM
1316,MERCHANDISE
1317,YALE
1318,ARE
1319,AVENUES
1320,WHICH
1321,NINE
1322,IF
1323,APPROACH
1324,ENTER
1325,NODULE
1326,FOXTROT
1327,MORE
1328,DOWNWARD
1329,JULIET
1330,IN
1331,TANGO
1332,STRINGY
1333,OTHER
1334,COWBOYS
1335,SWIMMING
1336,PYTHON
1337,BACKSPACE
1338,BUSHELS
1339,SLIDE
1340,BLUE
1341,TANGO
1342,WATER
1343,WORD
1344,ZULU
1345,NOVEMBER
1346,INEXHAUSTIBLE
1347,FOR
1348,CRAYON
1349,UNIFORM
1350,PART
1351,KILO
1352,BLOODSHED
1353,MOUSTACHE
1354,SOME
1355,FINGER
1356,INTO
1357,JOWLS
1358,FOXTROT
1359,PASTE
1360,DID
1361,IS
1362,BUNGALOWS
1363,BE
1364,MOISTEN
1365,AN
1366,IF
1367,LINE
1368,COWHIDE
1369,AT
1370,ALT
1371,HIS
1372,WATCHES
1373,WHO
1374,WHO
1375,BACHELOR
1376,THREE
1377,LONG
1378,ZULU
1379,SIERRA
1380,MASSAGE
1381,HIM
1382,THESE
1383,I
1384,HER
1385,WITHOUT
1386,OIL
1387,RESOUND
1388,VOUCHSAFE
1389,CLOWN
1390,CRAYON
1391,BE
1392,NUMBER
1393,CONVENIENCE
1394,SEE
1395,MULTIFLORA
1396,ROMEO
1397,INDIA
1398,BOSOM
1399,MOUSTACHE
1400,DOWRY
1401,SIX
1402,SIX
1403,ESCAPE
1404,THIS
1405,SOME
1406,BUT
1407,HANGER
1408,OUT
1409,HOW
1410,SHE
1411,MOUTH
1412,LOOK
1413,PARAGRAPH
1414,HAS
1415,CALL
1416,NEEDLEPOINT
1417,WAS
1418,SIX
1419,WHISKEY
1420,REJOINDER
1421,ADVICE
1422,HIM
1423,SCULLION
1424,EXAGGERATE
1425,WATCHES
1426,SIERRA
1427,LONG
1428,FROG
1429,EQUILIBRIUM
1430,IMMOVABLE
1431,WHISKEY
1432,COMMAND
1433,ROMEO
1434,OTHER
1435,NINE
1436,WAS
1437,ZULU
1438,SENTENCE
1439,TO
1440,RIGHTEOUS
1441,WRITE
1442,SWOON
1443,STRINGY
1444,ALPHA
1445,GIGANTIC
1446,BACHELOR
1447,ECHO
1448,LOOK
1449,CHARLIE
1450,NOVEMBER
1451,EQUILIBRIUM
1452,FOXTROT
1453,I
1454,PART
1455,WILL
1456,FIND
1457,WRITE
1458,FOOTMARKS
1459,DOWN
1460,WATCH
1461,LOOK
1462,NOW
1463,MAKE
1464,HOW
1465,INTO
1466,MIKE
1467,LEFT
1468,FORGETFULNESS
1469,INTO
1470,INTO
1471,ENDOWMENTS
1472,BE
1473,BOULEVARD
1474,PROMULGATE
1475,OF
1476,SIERRA
1477,SENTENCE
1478,YOU
1479,JULIET
1480,JULIET
1481,REFUGEE
1482,AS
1483,KNIFE
1484,MANY
1485,RE-UNITED
1486,CHOICE
1487,AND
1488,JOSEPH
1489,HOW
1490,MOUTH
1491,BIRMINGHAM
1492,JULIET
1493,EACH
1494,NATHANIEL
1495,DO
1496,CELEBRITY
1497,ALT
1498,OUT
1499,CAN
1500,AS
1501,AND
1502,FUTURITY
1503,HAS
1504,MASSACHUSETTS
1505,FLOWERS
1506,AMETHYSTS
1507,RESOUND
1508,FIND
1509,WAS
1510,MOONSHINE
1511,CIRCULAR
1512,CAN
1513,SYMPATHIZE
1514,SHIFT
1515,FROM
1516,SHOUT
1517,COME
1518,EQUILIBRIUM
1519,WHICH
1520,MORE
1521,AUTOBIOGRAPHY
1522,WHEN
1523,CHOWDER
1524,CHARLIE
1525,SCHOOLYARD
1526,WERE
1527,ANYTHING
1528,JOYFUL
1529,SOME
1530,NATURALIZATION
1531,COBBLESTONES
1532,ENTER
1533,JUMPING
1534,BLITHE
1535,CHARLIE
1536,FROM
1537,BRAVO
1538,FOXTROT
1539,GO
1540,EIGHT
1541,NUMBER
1542,BATHS
1543,ENDOWMENTS
1544,BLITHE
1545,THEY
1546,BOQUETS
1547,COULD
1548,SWIMMING
1549,DAY
1550,NEEDLEPOINT
1551,HER
1552,SHOVEL
1553,DESIGNATE
1554,INTO
1555,CHOKING
1556,COME
1557,CHATTERBOX
1558,HAD
1559,COMMERCIAL
1560,MOISTEN
1561,DELTA
1562,REGIME
1563,MANY
1564,ANNOYED
1565,ENTHUSE
1566,IN
1567,FIVE
1568,ANNOYED
1569,WATER
1570,FOR
1571,COULD
1572,THEN
1573,BATH
1574,SENTENCE
1575,NO
1576,RENDEZVOUS
1577,NOT
1578,COPY
1579,PARAGRAPH
1580,KNIFE
1581,SUPREME
1582,BACKSPACE
1583,THAN
1584,EPISODE
1585,CALL
1586,AZURE
1587,WOULD
1588,MORE
1589,KILO
1590,BOGIES
1591,HAVE
1592,ECHO
1593,AS
1594,USE
1595,HANGER
1596,CHARLIE
1597,THEY
1598,SEVEN
1599,TIME
1600,BUTTERFLIES
1601,THEIR
1602,IROQUOIS
1603,SHARPSHOOTER
1604,FIVE
1605,SHIFT
1606,NO
1607,ADAPT
1608,BUTCHER
1609,HOUSE
1610,THERE
1611,SHE
1612,OTHER
1613,OTHER
1614,BULRUSH
1615,HOIST
1616,CALL
1617,FOXTROT
1618,ABSOLVE
1619,WATCH
1620,ON
1621,RIGHT
1622,SENTENCE
1623,COWHIDE
1624,NOW
1625,AND
1626,QUEBEC
1627,VICTOR
1628,MADE
1629,SHIFT
1630,LAWYER
1631,THE
1632,THAN
1633,CHOICE
1634,COMPOSURE
1635,EIGHT
1636,ON
1637,FROM
1638,AUTHORITATIVE
1639,NAUSEA
1640,SIX
1641,PERPETUAL
1642,COIL
1643,FIRST
1644,COPY
1645,MASSAGE
1646,ROMEO
1647,CHOKING
1648,COHERENT
1649,HYPOTHESIS
1650,WATCH
1651,MOUSTACHE
1652,BANANA
1653,BATTLEFIELD
1654,ENDOWMENTS
1655,BATHTUB
1656,CONTROL
1657,EACH
1658,SIERRA
1659,CASUALTIES
1660,SIX
1661,EXPLOIT
1662,ZERO
1663,SHIFT
1664,IROQUOIS
1665,CAN
1666,OBSERVATION
1667,THAT
1668,DESIGNATE
1669,BATTLEMENTS
1670,ON
1671,SIERRA
1672,KILO
1673,GOLF
1674,CONVULSION
1675,FIND
1676,ALT
1677,USE
1678,YOU
1679,CHARLIE
1680,DIGEST
1681,UPWARD
1682,COPY
1683,UPWARD
1684,YES
1685,WERE
1686,WHEN
1687,VACUUM
1688,INALIENABLE
1689,UNIFORM
1690,JULIET
1691,A
1692,ABLUTIONS
1693,SIX
1694,COWHIDE
1695,THEY
1696,HOTEL
1697,ON
1698,MAY
1699,CLOWN
1700,WHAT
1701,CUT
1702,TREE
1703,HE
1704,JULIET
1705,WRITE
1706,NEWFOUND
1707,BATH
1708,KILO
1709,X-RAY
1710,VICTOR
1711,PENNSYLVANIA
1712,THREE
1713,NINE
1714,OIL
1715,ABLE-BODIED
1716,PARAGRAPH
1717,HIS
1718,FOXTROT
1719,WHAT
1720,WHEREWITHAL
1721,DELETE
1722,ZULU
1723,JUMPING
1724,NINE
1725,EPISODE
1726,YES
1727,VACUUM
1728,BATTLEFIELD
1729,CHARLIE
1730,SCULLION
1731,MAY
1732,COPY
1733,BEEN
1734,CUSHY
1735,NOT
1736,PART
1737,FOR
1738,AND
1739,INTO
1740,A
1741,AZURE
1742,MADE
1743,HE
1744,WHEN
1745,ALPHA
1746,HER
